BookVal,MinorBlem,MajorBlem,PowerSeller,IDSeller,Sealed,NegFeedback,ReservePriceFrac,NBidders,FinalPrice
99.5,0,0,1,0,0,0,0.0802010050251256,7,74.99
27.5,0,0,0,0,0,0,0.252363636363636,5,24.51
43.5,0,0,0,0,0,0,0.964367816091954,0,NaN
99.5,1,0,1,0,0,0,0.798994974874372,0,NaN
99.5,1,0,1,0,0,0,0.798994974874372,0,NaN
59.5,0,0,1,0,0,0,0.831932773109244,1,NaN
59.5,0,0,1,0,0,0,0.831932773109244,1,NaN
59.5,0,0,1,0,0,0,0.831932773109244,2,50.5
18.95,0,0,0,0,0,0,0.791029023746702,1,NaN
39.5,0,0,0,0,0,0,0.632658227848101,2,25.49
10.5,0,0,0,0,0,0,0.38,3,9.25
19.95,0,0,0,0,0,0,0.2,7,14.61
19.95,0,0,0,0,0,0,0.2,4,13.75
97.5,0,0,0,0,0,0,0.0409230769230769,11,72.99
16.5,0,0,1,0,1,0,0.903030303030303,3,18.78
17.5,0,0,1,0,1,0,0.851428571428571,3,18.02
16.5,0,0,1,0,1,0,0.903030303030303,2,15.5
43.5,1,0,0,0,0,1,0.941379310344828,0,NaN
10.5,0,0,0,0,0,0,0.946666666666667,0,NaN
34.5,1,0,0,0,0,0,0.318260869565217,6,28.49
175,1,0,0,0,0,0,0.0627428571428571,5,132.7
175,0,0,0,0,0,0,0.0342285714285714,5,135
16.5,0,0,1,0,1,0,0.288484848484848,4,23.38
8.95,0,0,1,0,0,0,1.11620111731844,1,NaN
15,0,0,1,0,0,0,0.366,5,12
38.5,0,0,1,0,0,0,0.142597402597403,6,30.5
13.5,0,0,1,0,0,0,0.406666666666667,5,13.01
12.95,0,0,1,0,0,0,0.423938223938224,6,15
16.5,0,0,1,0,0,0,0.332727272727273,6,20.01
39.5,0,0,1,0,0,0,0.138987341772152,5,40.5
69.5,0,0,0,0,1,0,0.0829290745414141,7,49.7735706806283
39.5,0,0,0,0,0,1,1.08227848101266,0,NaN
39.5,0,0,0,0,0,0,0.783291139240506,2,34.45
9.5,0,0,1,0,0,0,1.34353375585561,2,16.2935706806283
7.5,0,0,1,0,0,0,1.70180942408377,0,NaN
13.5,0,0,1,0,0,0,1.24174597634284,1,NaN
11.5,0,0,1,0,0,0,1.37074527657637,1,NaN
8.5,0,0,1,0,0,0,1.61924360948568,1,NaN
9.5,0,0,1,0,0,0,1.55406007164508,1,NaN
10.5,0,0,1,0,0,0,1.40605435053603,0,NaN
11.5,0,0,1,0,0,0,1.10987571135898,1,NaN
8.5,0,0,1,0,0,0,1.50159655066215,2,14.3435706806283
14.95,0,0,1,0,0,0,1.18819870773433,0,NaN
11.5,0,0,1,0,0,0,1.28378875483724,2,16.3235706806283
10.5,0,0,1,0,0,0,1.31081625529793,0,NaN
17.5,0,0,1,0,0,0,1.01506118175019,0,NaN
17.95,0,0,1,0,0,0,0.989613965494612,1,NaN
8.5,0,0,1,0,0,0,1.61924360948568,1,NaN
22.5,0,0,1,0,0,0,0.444444444444444,5,25.55
22.5,1,0,0,0,0,0,0.644,2,15.06
16.5,0,0,0,0,1,0,0.878181818181818,3,16.01
15.95,0,0,0,0,0,0,0.595611285266458,2,14.51
16.5,0,0,0,0,0,0,1.08484848484848,0,NaN
17.5,0,0,0,0,0,0,1.02285714285714,1,NaN
16.5,0,0,0,0,0,0,1.08484848484848,0,NaN
16.5,0,0,0,0,0,0,1.08484848484848,0,NaN
22.5,0,0,0,0,0,0,0.795555555555555,0,NaN
29.5,0,0,0,0,0,0,0.606779661016949,2,19.93
16.5,0,0,0,0,1,0,0.878181818181818,3,18
16.5,0,0,0,0,1,0,0.878181818181818,1,NaN
18.5,0,0,0,0,0,0,0.321081081081081,5,14.45
9.5,0,0,0,0,0,0,1.20947368421053,1,NaN
9.5,0,0,0,0,0,0,1.10421052631579,0,NaN
9.5,0,0,1,0,0,0,1.15578947368421,0,NaN
16.5,0,0,0,0,1,0,0.272121212121212,4,15
15,0,0,1,0,0,0,0.798666666666667,2,12.48
9.5,0,0,1,0,0,0,1.26105263157895,1,NaN
